"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 03 15:00:21 CST 2022","Thu Mar 03 15:00:21 CST 2022","82","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户类型为空的场景","商品登录模块接口测试用例"
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","94","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户类型不匹配的场景","商品登录模块接口测试用例"
"passed","Thu Mar 03 15:00:20 CST 2022","Thu Mar 03 15:00:21 CST 2022","95","testcases.test_business_token_login02","test_login05","TestLogin","","","正常登录流程","商品登录模块接口测试用例"
"failed","Thu Mar 03 15:00:23 CST 2022","Thu Mar 03 15:00:23 CST 2022","84","testcases.test_my_interface01","test_regist","TestRegister","","","手机号码格式不正确",""
"passed","Thu Mar 03 15:00:23 CST 2022","Thu Mar 03 15:00:23 CST 2022","83","testcases.test_my_interface01","test_regist","TestRegister","","","用户名已注册",""
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","79","testcases.test_my_interface01","test_login","TestLogin","","","用户名为空","登录接口"
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","81","testcases.test_my_interface01","test_regist","TestRegister","","","密码为空",""
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:23 CST 2022","82","testcases.test_my_interface01","test_regist","TestRegister","","","手机号码为空",""
"passed","Thu Mar 03 15:00:21 CST 2022","Thu Mar 03 15:00:21 CST 2022","88","testcases.test_business_token_login02","test_login05","TestLogin","","","测试密码为空的场景","商品登录模块接口测试用例"
"failed","Thu Mar 03 15:00:23 CST 2022","Thu Mar 03 15:00:23 CST 2022","94","testcases.test_my_interface01","test_regist","TestRegister","","","邮箱格式不正确",""
"passed","Thu Mar 03 15:00:21 CST 2022","Thu Mar 03 15:00:22 CST 2022","83","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户类型格式不正确的场景","商品登录模块接口测试用例"
"passed","Thu Mar 03 15:00:23 CST 2022","Thu Mar 03 15:00:23 CST 2022","84","testcases.test_my_interface01","test_regist","TestRegister","","","密码不在6-18位之间",""
"passed","Thu Mar 03 15:00:21 CST 2022","Thu Mar 03 15:00:21 CST 2022","86","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户名格式错误的场景","商品登录模块接口测试用例"
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","86","testcases.test_my_interface01","test_login","TestLogin","","","登录成功","登录接口"
"passed","Thu Mar 03 15:00:23 CST 2022","Thu Mar 03 15:00:23 CST 2022","97","testcases.test_my_interface01","test_regist","TestRegister","","","用户名不在6-18之间",""
"failed","Thu Mar 03 15:00:21 CST 2022","Thu Mar 03 15:00:21 CST 2022","88","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户名是否区分大小写","商品登录模块接口测试用例"
"passed","Thu Mar 03 15:00:21 CST 2022","Thu Mar 03 15:00:21 CST 2022","86","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户名为空的场景","商品登录模块接口测试用例"
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","83","testcases.test_my_interface01","test_regist","TestRegister","","","邮箱为空",""
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","81","testcases.test_my_interface01","test_login","TestLogin","","","用户名错误","登录接口"
"passed","Thu Mar 03 15:00:21 CST 2022","Thu Mar 03 15:00:21 CST 2022","86","testcases.test_business_token_login02","test_login05","TestLogin","","","测试错误密码的场景","商品登录模块接口测试用例"
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","81","testcases.test_my_interface01","test_login","TestLogin","","","密码错误","登录接口"
"passed","Thu Mar 03 15:00:23 CST 2022","Thu Mar 03 15:00:23 CST 2022","78","testcases.test_my_interface01","test_regist","TestRegister","","","密码和确认密码输入不一致",""
"failed","Thu Mar 03 15:00:21 CST 2022","Thu Mar 03 15:00:21 CST 2022","85","testcases.test_business_token_login02","test_login05","TestLogin","","","测试密码是否区分大小写","商品登录模块接口测试用例"
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","85","testcases.test_my_interface01","test_login","TestLogin","","","密码为空","登录接口"
"passed","Thu Mar 03 15:00:21 CST 2022","Thu Mar 03 15:00:21 CST 2022","83","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户名不存在的场景","商品登录模块接口测试用例"
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","84","testcases.test_my_interface01","test_regist","TestRegister","","","用户名为空",""
"failed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","85","testcases.test_my_interface01","test_regist","TestRegister","","","确认密码为空",""
"passed","Thu Mar 03 15:00:22 CST 2022","Thu Mar 03 15:00:22 CST 2022","88","testcases.test_my_interface01","test_regist","TestRegister","","","正常注册",""
